1.5051 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
6.6668 	EXP 	text_2: height = 0.05
6.6668 	EXP 	text_2: height = 0.05
6.6668 	EXP 	text_2: text = 0
6.6693 	DATA 	Keypress: d
6.6753 	EXP 	text_2: height = 0.05
6.6753 	EXP 	text_2: height = 0.05
6.6753 	EXP 	text_2: height = 0.05
6.6753 	EXP 	text_2: text = 0
6.6813 	EXP 	text_2: height = 0.05
6.6813 	EXP 	text_2: height = 0.05
6.6813 	EXP 	text_2: height = 0.05
6.6813 	EXP 	text_2: text = 1
6.6855 	EXP 	text_2: height = 0.05
6.6855 	EXP 	text_2: height = 0.05
6.6855 	EXP 	text_2: height = 0.05
6.6855 	EXP 	text_2: text = 1
6.6897 	EXP 	text_2: height = 0.05
6.6897 	EXP 	text_2: height = 0.05
6.6897 	EXP 	text_2: height = 0.05
6.6897 	EXP 	text_2: text = 1
6.6938 	EXP 	text_2: height = 0.05
6.6938 	EXP 	text_2: height = 0.05
6.6938 	EXP 	text_2: height = 0.05
